model,dataset,method,seed,gsm8k_strict,gsm8k_flex,hellaswag_acc_norm,arc_challenge_acc_norm,mmlu_acc,mmlu_pro_acc,bbh_acc,math_acc,humaneval_pass1,ifeval_strict,truthfulqa_mc1,best_step,best_val_loss,final_val_loss,completed_steps,aborted,lm_eval_json
qwen25-7b,metamathqa-10k,relora_random_drop,42,0.8044,0.8059,0.8012,0.6271,,,,,,,,250,0.1351,0.2098,3000,True,results/stage3_v2/qwen25-7b/metamathqa-10k/relora_random_drop/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen25-7b__metamathqa-10k__relora_random_drop__seed42__checkpoints__best/results_2026-05-15T16-21-54.390729.json
qwen25-7b,metamathqa-10k,relora_train_gated,42,0.8006,0.7983,0.8004,0.6271,,,,,,,,250,0.1349,0.2372,3000,True,results/stage3_v2/qwen25-7b/metamathqa-10k/relora_train_gated/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen25-7b__metamathqa-10k__relora_train_gated__seed42__checkpoints__best/results_2026-05-17T09-35-12.827215.json
qwen3-8b,metamathqa-10k,adalora,42,0.7862,0.7892,0.7591,0.6698,,,,,,,,750,0.1539,0.2041,3000,False,results/stage3_v2/qwen3-8b/metamathqa-10k/adalora/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__metamathqa-10k__adalora__seed42__checkpoints__best/results_2026-05-17T06-31-57.930527.json
qwen3-8b,metamathqa-10k,dora,42,0.8173,0.8203,0.7639,0.6706,,,,,,,,600,0.1518,0.1581,800,False,results/stage3_v2/qwen3-8b/metamathqa-10k/dora/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__metamathqa-10k__dora__seed42__checkpoints__best/results_2026-05-17T11-55-20.279792.json
qwen3-8b,metamathqa-10k,lora_vanilla,42,0.8127,0.8165,0.7635,0.6724,,,,,,,,500,0.1554,0.4661,3000,False,results/stage3_v2/qwen3-8b/metamathqa-10k/lora_vanilla/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__metamathqa-10k__lora_vanilla__seed42__checkpoints__best/results_2026-05-17T06-33-38.838439.json
qwen3-8b,metamathqa-10k,relora_baseline,42,0.8135,0.8180,0.7644,0.6732,,,,,,,,500,0.1556,0.2878,3000,True,results/stage3_v2/qwen3-8b/metamathqa-10k/relora_baseline/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__metamathqa-10k__relora_baseline__seed42__checkpoints__best/results_2026-05-16T18-43-00.805849.json
qwen3-8b,metamathqa-10k,relora_diag_gated_S3neg,42,0.8158,0.8188,0.7643,0.6698,,,,,,,,500,0.1554,0.2382,3000,True,results/stage3_v2/qwen3-8b/metamathqa-10k/relora_diag_gated_S3neg/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__metamathqa-10k__relora_diag_gated_S3neg__seed42__checkpoints__best/results_2026-05-16T18-39-06.120642.json
qwen3-8b,metamathqa-10k,relora_diag_gated_S3pos,42,0.8582,0.8613,0.7607,0.6596,,,,,,,,750,0.1554,0.1546,3000,False,results/stage3_v2/qwen3-8b/metamathqa-10k/relora_diag_gated_S3pos/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__metamathqa-10k__relora_diag_gated_S3pos__seed42__checkpoints__best/results_2026-05-17T06-19-41.983766.json
qwen3-8b,metamathqa-10k,relora_random_drop,42,0.8514,0.8544,0.7600,0.6724,,,,,,,,750,0.1550,0.2370,3000,True,results/stage3_v2/qwen3-8b/metamathqa-10k/relora_random_drop/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__metamathqa-10k__relora_random_drop__seed42__checkpoints__best/results_2026-05-17T06-23-27.091832.json
qwen3-8b,metamathqa-10k,relora_train_gated,42,0.8150,0.8188,0.7627,0.6724,,,,,,,,500,0.1553,0.2447,3000,True,results/stage3_v2/qwen3-8b/metamathqa-10k/relora_train_gated/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__metamathqa-10k__relora_train_gated__seed42__checkpoints__best/results_2026-05-16T18-41-19.573298.json
qwen3-8b,tulu3-sft,adalora,42,0.7407,0.7688,0.7777,0.6638,,,,,,,,1000,1.3064,1.3707,3000,False,results/stage3_v2/qwen3-8b/tulu3-sft/adalora/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__tulu3-sft__adalora__seed42__checkpoints__best/results_2026-05-15T02-56-07.536886.json
qwen3-8b,tulu3-sft,cola,42,,,,,,,,,,,,,,,,,
qwen3-8b,tulu3-sft,cola,42_smoke,,,,,,,,,,,,100,1.3528,1.3538,100,False,
qwen3-8b,tulu3-sft,dora,42,0.7976,0.8006,0.7763,0.6664,,,,,,,,500,1.3054,1.3089,800,False,results/stage3_v2/qwen3-8b/tulu3-sft/dora/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__tulu3-sft__dora__seed42__checkpoints__best/results_2026-05-17T16-22-27.973772.json
qwen3-8b,tulu3-sft,lora_vanilla,42,0.8052,0.8105,0.7763,0.6647,,,,,,,,500,1.3136,1.7644,3000,False,results/stage3_v2/qwen3-8b/tulu3-sft/lora_vanilla/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__tulu3-sft__lora_vanilla__seed42__checkpoints__best/results_2026-05-15T02-54-30.235329.json
qwen3-8b,tulu3-sft,relora_baseline,42,0.7885,0.8006,0.7756,0.6689,,,,,,,,500,1.3125,1.6149,3000,False,results/stage3_v2/qwen3-8b/tulu3-sft/relora_baseline/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__tulu3-sft__relora_baseline__seed42__checkpoints__best/results_2026-05-15T02-54-24.758782.json
qwen3-8b,tulu3-sft,relora_diag_gated_S3neg,42,0.8681,0.8688,0.7782,0.6715,,,,,,,,750,1.3127,1.4974,3000,False,results/stage3_v2/qwen3-8b/tulu3-sft/relora_diag_gated_S3neg/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__tulu3-sft__relora_diag_gated_S3neg__seed42__checkpoints__best/results_2026-05-15T02-58-02.458687.json
qwen3-8b,tulu3-sft,relora_diag_gated_S3pos,42,0.8650,0.8704,0.7707,0.6732,,,,,,,,750,1.3090,1.3104,3000,False,results/stage3_v2/qwen3-8b/tulu3-sft/relora_diag_gated_S3pos/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__tulu3-sft__relora_diag_gated_S3pos__seed42__checkpoints__best/results_2026-05-17T09-53-03.034162.json
qwen3-8b,tulu3-sft,relora_random_drop,42,0.8605,0.8643,0.7714,0.6724,,,,,,,,750,1.3098,1.4113,3000,False,results/stage3_v2/qwen3-8b/tulu3-sft/relora_random_drop/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__tulu3-sft__relora_random_drop__seed42__checkpoints__best/results_2026-05-15T02-53-34.323720.json
qwen3-8b,tulu3-sft,relora_train_gated,42,0.8666,0.8696,0.7680,0.6672,,,,,,,,750,1.3096,1.5003,3000,False,results/stage3_v2/qwen3-8b/tulu3-sft/relora_train_gated/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen3-8b__tulu3-sft__relora_train_gated__seed42__checkpoints__best/results_2026-05-16T14-48-33.551898.json
r1-distill-7b,metamathqa-10k,lora_vanilla,42,0.7566,0.7597,0.5911,0.4915,,,,,,,,500,0.1674,0.4722,3000,False,results/stage3_v2/r1-distill-7b/metamathqa-10k/lora_vanilla/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__r1-distill-7b__metamathqa-10k__lora_vanilla__seed42__adapter/results_2026-05-18T21-50-16.853115.json
