task,step,saliency,rho,auc_harmful,n_harmful,harmful_rate,baseline_test_loss,baseline_test_acc
rte,800,S2_fo_tr,-0.4221373735181619,,166,0.8645833333333334,0.7620992691723448,0.7364620938628159
rte,800,S3_fo_val,-0.670151981661829,0.1603336422613531,166,0.8645833333333334,0.7620992691723448,0.7364620938628159
rte,800,S4_fisher_tr,-0.4968854271220466,,166,0.8645833333333334,0.7620992691723448,0.7364620938628159
rte,800,S5_fisher_val,-0.5572796571087542,,166,0.8645833333333334,0.7620992691723448,0.7364620938628159
rte,1200,S1_mag,0.25431665898054967,,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1200,S2_fo_tr,0.0004798171608387815,,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1200,S3_fo_val,-0.5599517130998563,0.21204323211528567,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1200,S4_fisher_tr,-0.26351626291945857,,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1200,S5_fisher_val,-0.3393104196619917,,134,0.6979166666666666,0.7827027128061232,0.7581227436823105
rte,1600,S1_mag,0.191357187423704,,150,0.78125,1.0630494599307918,0.7509025270758123
rte,1600,S2_fo_tr,-0.23356583837452188,,150,0.78125,1.0630494599307918,0.7509025270758123
rte,1600,S3_fo_val,-0.6876152917559614,0.20857142857142857,150,0.78125,1.0630494599307918,0.7509025270758123
rte,1600,S4_fisher_tr,-0.26153256653012513,,150,0.78125,1.0630494599307918,0.7509025270758123
rte,1600,S5_fisher_val,-0.4258707918509075,,150,0.78125,1.0630494599307918,0.7509025270758123
rte,2000,S1_mag,0.20155881235927625,,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
rte,2000,S2_fo_tr,-0.16491468410058868,,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
rte,2000,S3_fo_val,-0.5934863548815887,0.24108584005869405,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
rte,2000,S4_fisher_tr,-0.23989840761739417,,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
rte,2000,S5_fisher_val,-0.3692761034099233,,145,0.7552083333333334,1.1091017817762354,0.7581227436823105
